route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
9,6,1691,"TRENTON TRANSIT CENTER",1,"3949",738
9,6,1692,"TRENTON TRANSIT CENTER",1,"8849",739
9,2,1693,"TRENTON TRANSIT CENTER",1,"7875",740
9,2,1694,"TRENTON TRANSIT CENTER",1,"7879",741
9,2,1695,"TRENTON TRANSIT CENTER",1,"7883",742
9,2,1696,"TRENTON TRANSIT CENTER",1,"7859",743
9,2,1697,"TRENTON TRANSIT CENTER",1,"7847",744
9,2,1698,"TRENTON TRANSIT CENTER",1,"7851",745
9,2,1699,"TRENTON TRANSIT CENTER",1,"7855",746
9,2,1700,"TRENTON TRANSIT CENTER",1,"7863",747
9,2,1701,"TRENTON TRANSIT CENTER",1,"7867",748
9,2,1702,"TRENTON TRANSIT CENTER",1,"7871",749
9,2,1703,"TRENTON TRANSIT CENTER",1,"7813",750
9,2,1704,"TRENTON TRANSIT CENTER",1,"7817",751
9,2,1705,"TRENTON TRANSIT CENTER",1,"7825",752
9,2,1706,"TRENTON TRANSIT CENTER",1,"7833",753
9,2,1707,"TRENTON TRANSIT CENTER",1,"7837",754
9,2,1708,"TRENTON TRANSIT CENTER",1,"7849",755
9,2,1709,"TRENTON TRANSIT CENTER",1,"7821",756
9,2,1710,"TRENTON TRANSIT CENTER",1,"7829",757
9,2,1711,"TRENTON TRANSIT CENTER",1,"7841",758
9,2,1712,"TRENTON TRANSIT CENTER",1,"7845",759
9,2,1713,"TRENTON TRANSIT CENTER",1,"7853",760
9,2,1714,"TRENTON TRANSIT CENTER",1,"7865",761
9,2,1715,"TRENTON TRANSIT CENTER",1,"7869",762
9,2,1716,"TRENTON TRANSIT CENTER",1,"7873",763
9,2,1717,"TRENTON TRANSIT CENTER",1,"7877",764
9,2,1718,"TRENTON TRANSIT CENTER",1,"7881",765
9,2,1719,"TRENTON TRANSIT CENTER",1,"7885",766
9,2,1720,"TRENTON TRANSIT CENTER",1,"7887",767
9,2,1721,"TRENTON TRANSIT CENTER",1,"7857",768
9,1,1722,"TRENTON TRANSIT CENTER",1,"7801",769
9,1,1723,"TRENTON TRANSIT CENTER",1,"7805",770
9,2,1724,"TRENTON TRANSIT CENTER",1,"7861",771
9,2,1725,"FRANK R LAUTENBERG SECAUCUS UPPER LEVEL",1,"7625",772
9,2,1726,"FRANK R LAUTENBERG SECAUCUS UPPER LEVEL",1,"7629",773
9,2,1727,"FRANK R LAUTENBERG SECAUCUS UPPER LEVEL",1,"7633",774
9,2,1728,"FRANK R LAUTENBERG SECAUCUS UPPER LEVEL",1,"7637",775
9,2,1729,"RAHWAY",1,"7661",776
9,2,1730,"RAHWAY",1,"7669",777
9,2,1731,"RAHWAY",1,"7657",778
9,2,1732,"RAHWAY",1,"7665",779
9,2,1733,"RAHWAY",1,"7673",780
9,18,1734,"TRENTON TRANSIT CENTER",1,"3811",781
9,19,1735,"TRENTON TRANSIT CENTER",1,"3811",782
9,8,1736,"TRENTON TRANSIT CENTER",1,"3867",783
9,8,1737,"TRENTON TRANSIT CENTER",1,"3873",784
9,8,1738,"TRENTON TRANSIT CENTER",1,"3875",785
9,8,1739,"TRENTON TRANSIT CENTER",1,"3949",786
9,8,1740,"TRENTON TRANSIT CENTER",1,"3955",787
9,8,1741,"TRENTON TRANSIT CENTER",1,"3961",788
9,4,1742,"JERSEY AVE.",1,"3713",789
9,4,1743,"TRENTON TRANSIT CENTER",1,"3963",790
9,4,1744,"TRENTON TRANSIT CENTER",1,"3969",791
9,4,1745,"TRENTON TRANSIT CENTER",1,"3815",792
9,4,1746,"JERSEY AVE.",1,"3711",793
9,4,1747,"JERSEY AVE.",1,"3177",794
9,4,1748,"JERSEY AVE.",1,"3703",795
9,4,1749,"TRENTON TRANSIT CENTER",1,"3885",796
9,4,1750,"JERSEY AVE.",1,"3719",797
9,4,1751,"JERSEY AVE.",1,"3737",798
9,4,1752,"TRENTON TRANSIT CENTER",1,"3823",799
9,4,1753,"TRENTON TRANSIT CENTER",1,"3855",800
9,4,1754,"TRENTON TRANSIT CENTER",1,"3869",801
9,4,1755,"TRENTON TRANSIT CENTER",1,"3887",802
9,4,1756,"TRENTON TRANSIT CENTER",1,"3889",803
9,4,1757,"TRENTON TRANSIT CENTER",1,"3891",804
9,4,1758,"TRENTON TRANSIT CENTER",1,"3893",805
9,4,1759,"TRENTON TRANSIT CENTER",1,"3829",806
9,4,1760,"TRENTON TRANSIT CENTER",1,"3833",807
9,4,1761,"TRENTON TRANSIT CENTER",1,"3837",808
9,4,1762,"TRENTON TRANSIT CENTER",1,"3813",809
9,4,1763,"TRENTON TRANSIT CENTER",1,"3857",810
9,3,1764,"TRENTON TRANSIT CENTER",1,"3805",811
9,4,1765,"TRENTON TRANSIT CENTER",1,"3825",812
9,4,1766,"TRENTON TRANSIT CENTER",1,"3841",813
9,4,1767,"TRENTON TRANSIT CENTER",1,"3845",814
9,4,1768,"TRENTON TRANSIT CENTER",1,"3849",815
9,4,1769,"TRENTON TRANSIT CENTER",1,"3853",816
9,4,1770,"TRENTON TRANSIT CENTER",1,"3809",817
9,4,1771,"TRENTON TRANSIT CENTER",1,"3817",818
9,4,1772,"TRENTON TRANSIT CENTER",1,"3821",819
9,4,1773,"TRENTON TRANSIT CENTER",1,"3827",820
9,4,1774,"TRENTON TRANSIT CENTER",1,"3861",821
9,4,1775,"TRENTON TRANSIT CENTER",1,"3881",822
9,4,1776,"TRENTON TRANSIT CENTER",1,"3831",823
9,4,1777,"TRENTON TRANSIT CENTER",1,"3835",824
