service_id,date,exception_type
29,20140706,1
29,20140713,1
29,20140720,1
29,20140727,1
29,20140803,1
29,20140810,1
29,20140817,1
29,20140824,1
29,20140901,1
30,20140314,1
30,20140321,1
30,20140328,1
30,20140404,1
30,20140411,1
30,20140414,1
30,20140418,1
30,20140425,1
30,20140502,1
30,20140509,1
30,20140516,1
30,20140523,1
30,20140530,1
30,20140606,1
30,20140613,1
30,20140620,1
30,20140627,1
30,20140703,1
30,20140711,1
30,20140718,1
30,20140725,1
30,20140801,1
30,20140808,1
30,20140815,1
30,20140822,1
30,20140829,1
30,20140905,1
31,20140313,1
31,20140317,1
31,20140318,1
31,20140319,1
31,20140320,1
31,20140324,1
31,20140325,1
31,20140326,1
31,20140327,1
31,20140331,1
31,20140401,1
31,20140402,1
31,20140403,1
31,20140407,1
31,20140408,1
31,20140409,1
31,20140410,1
31,20140415,1
31,20140416,1
31,20140417,1
31,20140421,1
31,20140422,1
31,20140423,1
31,20140424,1
31,20140428,1
31,20140429,1
31,20140430,1
31,20140501,1
31,20140505,1
31,20140506,1
31,20140507,1
31,20140508,1
31,20140512,1
31,20140513,1
31,20140514,1
31,20140515,1
31,20140519,1
31,20140520,1
31,20140521,1
31,20140522,1
31,20140527,1
31,20140528,1
31,20140529,1
31,20140602,1
31,20140603,1
31,20140604,1
31,20140605,1
31,20140609,1
31,20140610,1
31,20140611,1
31,20140612,1
31,20140616,1
31,20140617,1
31,20140618,1
31,20140619,1
31,20140623,1
31,20140624,1
31,20140625,1
31,20140626,1
31,20140630,1
31,20140701,1
31,20140702,1
31,20140707,1
31,20140708,1
31,20140709,1
31,20140710,1
31,20140714,1
31,20140715,1
31,20140716,1
31,20140717,1
31,20140721,1
31,20140722,1
31,20140723,1
31,20140724,1
31,20140728,1
31,20140729,1
31,20140730,1
31,20140731,1
31,20140804,1
31,20140805,1
31,20140806,1
31,20140807,1
31,20140811,1
31,20140812,1
31,20140813,1
31,20140814,1
31,20140818,1
31,20140819,1
31,20140820,1
31,20140821,1
31,20140825,1
31,20140826,1
31,20140827,1
31,20140828,1
31,20140902,1
31,20140903,1
31,20140904,1
32,20140313,1
32,20140314,1
32,20140317,1
32,20140318,1
32,20140319,1
32,20140320,1
32,20140321,1
32,20140324,1
32,20140325,1
32,20140326,1
32,20140327,1
32,20140328,1
32,20140331,1
32,20140401,1
32,20140402,1
32,20140403,1
32,20140404,1
32,20140407,1
32,20140408,1
32,20140409,1
32,20140410,1
32,20140411,1
32,20140414,1
32,20140415,1
32,20140416,1
32,20140417,1
32,20140418,1
32,20140421,1
32,20140422,1
32,20140423,1
32,20140424,1
32,20140425,1
32,20140428,1
32,20140429,1
32,20140430,1
32,20140501,1
32,20140502,1
32,20140505,1
32,20140506,1
32,20140507,1
32,20140508,1
32,20140509,1
32,20140512,1
32,20140513,1
32,20140514,1
32,20140515,1
32,20140516,1
32,20140519,1
32,20140520,1
32,20140521,1
32,20140522,1
32,20140523,1
32,20140526,1
32,20140527,1
32,20140528,1
32,20140529,1
32,20140530,1
32,20140602,1
32,20140603,1
32,20140604,1
32,20140605,1
32,20140606,1
32,20140609,1
32,20140610,1
32,20140611,1
32,20140612,1
32,20140613,1
32,20140616,1
32,20140617,1
32,20140618,1
32,20140619,1
32,20140620,1
32,20140623,1
32,20140624,1
32,20140625,1
32,20140626,1
32,20140627,1
32,20140630,1
32,20140701,1
32,20140702,1
32,20140703,1
32,20140704,1
32,20140707,1
32,20140708,1
32,20140709,1
32,20140710,1
32,20140711,1
32,20140714,1
32,20140715,1
32,20140716,1
32,20140717,1
32,20140718,1
32,20140721,1
32,20140722,1
32,20140723,1
32,20140724,1
32,20140725,1
32,20140728,1
32,20140729,1
32,20140730,1
32,20140731,1
32,20140801,1
32,20140804,1
32,20140805,1
32,20140806,1
32,20140807,1
32,20140808,1
32,20140811,1
32,20140812,1
32,20140813,1
32,20140814,1
32,20140815,1
32,20140818,1
32,20140819,1
32,20140820,1
32,20140821,1
32,20140822,1
32,20140825,1
32,20140826,1
32,20140827,1
32,20140828,1
32,20140829,1
